,0,1,2,3,4
255,0.01,0.01,0.01,0.01,0.01
256,0.01,0.01,0.01,0.01,0.01
257,0.03,0.03,0.03,0.03,0.03
258,0.01,0.01,0.01,0.01,0.01
259,0.05,0.05,0.05,0.05,0.05
260,0.03,0.05,0.03,0.03,0.03
261,0.01,0.01,0.01,0.01,0.01
262,0.01,0.01,0.01,0.01,0.01
263,0.01,0.01,0.03,0.03,0.03
264,0.03,0.03,0.03,0.03,0.03
265,0.03,0.03,0.03,0.03,0.03
266,0.03,0.03,0.03,0.03,0.03
267,0.01,0.01,0.01,0.01,0.01
268,0.03,0.03,0.03,0.03,0.03
269,0.01,0.01,0.01,0.01,0.01
270,0.03,0.03,0.03,0.03,0.05
271,0.01,0.01,0.01,0.01,0.01
272,0.01,0.01,0.01,0.01,0.01
273,0.03,0.03,0.03,0.03,0.03
274,0.03,0.03,0.03,0.03,0.03
275,0.01,0.03,0.03,0.03,0.03
276,0.01,0.01,0.01,0.01,0.01
277,0.01,0.01,0.01,0.01,0.01
278,0.03,0.03,0.05,0.03,0.03
279,0.01,0.01,0.01,0.01,0.01
280,0.01,0.01,0.01,0.01,0.01
281,0.03,0.03,0.03,0.03,0.03
282,0.03,0.03,0.05,0.03,0.03
283,0.01,0.01,0.01,0.01,0.01
284,0.03,0.01,0.01,0.01,0.03
285,0.05,0.05,0.05,0.05,0.05
286,0.03,0.03,0.03,0.03,0.03
287,0.01,0.01,0.01,0.01,0.01
288,0.01,0.01,0.01,0.01,0.01
289,0.01,0.01,0.01,0.01,0.01
290,0.03,0.03,0.03,0.03,0.03
291,0.01,0.01,0.01,0.01,0.01
292,0.01,0.01,0.01,0.01,0.01
293,0.01,0.01,0.01,0.01,0.01
294,0.01,0.01,0.01,0.01,0.01
295,0.01,0.01,0.01,0.01,0.01
296,0.01,0.01,0.01,0.01,0.01
297,0.05,0.05,0.05,0.05,0.05
298,0.01,0.01,0.03,0.01,0.01
299,0.03,0.03,0.03,0.03,0.03
300,0.01,0.01,0.01,0.01,0.03
301,0.03,0.03,0.03,0.03,0.03
302,0.03,0.03,0.01,0.03,0.03
303,0.01,0.01,0.01,0.01,0.01
304,0.01,0.01,0.01,0.01,0.01
305,0.01,0.01,0.01,0.01,0.01
306,0.03,0.03,0.03,0.03,0.03
